code_proces;route_num;internal_code;project_name;code_dispacht;code_sales_erp;item;description_material;piece_type;code_piece;num_piece;length_1;width_1;notes_a;length_2;width_2;notes_b;total_piece;label_piece;quantity;grain;img_img1;img_2;img_3;img_4;url_file_1;url_file_2;url_file_3
1976-22;22;1976; 41 CENTRAL; 2TO DESPACHO;A22;T2191_5LC_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2324X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 2 Q: 12;1;Si;;;;;;;
1976-23;23;1976; 41 CENTRAL; 2TO DESPACHO;A23;VBSFP27C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;16;PIEZA: # 1 Q: 16;1;Si;;;;;;;
1976-24;24;1976; 41 CENTRAL; 2TO DESPACHO;A24;VBSFP27C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;14;PIEZA: # 2 Q: 14;1;Si;;;;;;;
1976-25;25;1976; 41 CENTRAL; 2TO DESPACHO;A25;VBSFP30C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;19;PIEZA: # 1 Q: 19;1;Si;;;;;;;
1976-26;26;1976; 41 CENTRAL; 2TO DESPACHO;A26;VBSFP30C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;18;PIEZA: # 2 Q: 18;1;Si;;;;;;;
1976-27;27;1976; 41 CENTRAL; 2TO DESPACHO;A27;VBSFP33C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 1 Q: 12;1;Si;;;;;;;
1976-28;28;1976; 41 CENTRAL; 2TO DESPACHO;A28;VBSFP33C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;10;PIEZA: # 2 Q: 10;1;Si;;;;;;;
1976-29;29;1976; 41 CENTRAL; 2TO DESPACHO;A29;VBSFP36C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;16;PIEZA: # 1 Q: 16;1;Si;;;;;;;
1976-30;30;1976; 41 CENTRAL; 2TO DESPACHO;A30;VBSFP36C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_730X533;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;21;PIEZA: # 2 Q: 21;1;Si;;;;;;;
1976-31;31;1976; 41 CENTRAL; 2TO DESPACHO;A31;VBSFP3033_25_REM_E510_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Travesaá
